LabID,📚 Projects (collecting data),🏫 Institution,🌍 Country,Lab Name,PI(s),Additional Members,Lab website,Areas of study,Methods
marinalabLancaster,MB5,Lancaster University,United Kingdom,Lancaster Active Learning Lab,Marina Bazhydai,,https://wp.lancs.ac.uk/all/,,
maseno,"MB1-Africa,MB5,MB5N",Maseno University,Kenya,,"Catherine V. Mbagaya,Paul Odhiambo Oburu",,,,
mecdmpihcbs,"MB-ManyWebcams,MB4",Max Planck Institute for Human Cognitive and Brain Sciences,Germany,Milestones of Early Cognitive Development,Charlotte Grosse Wiesmann,"Katrin Rothmaler,Anna-Lena Tebbe",https://www.cbs.mpg.de/independent-research-groups/early-cognitive-development,,
MedeaBabylab,MB3-NIRS,IRCCS Eugenio Medea - Lombardia,Italy,Medea Babylab,"Chiara Cantiani,Valentina Riva",Alessandro Crippa,https://emedea.it/medea/en/research/topics/babylab-laboratory-for-early-detection-of-infants-at-high-risk-for-language-and-learning-impairment-and-autism-spectrum-disorders,,
MEyeLab,MB2,University of Mannheim,Germany,Mannheim Eye Lab,Nicole Altvater-Mackensen,Verena Schuhmann,https://www.phil.uni-mannheim.de/en/department-of-english/sub-depts/anglistik-i/research/ma-eye-lab-a-i/,,
MiniDundee,MB2,University of Dundee,United Kingdom,Mini me lab ,Josephine Ross,Elisabeth E. F. Bradford,https://blog.dundee.ac.uk/minimelab/,,
mpievaCCP,MB-ManyWebcams,Max Planck Institute for Evolutionary Anthropology,Germany,Comparative Cultural Psychology,Daniel Haun,"Manuel Bohn,Paul Grohmann",,,
musdevUTM,MB1,University of Toronto Mississauga,Canada,,Sandra E. Trehub,Laura K. Cirelli,,,
ndplFAU,MB-ManyWebcams,Friedrich-Alexander-Universität Erlangen-Nürnberg,Germany,"Neurocognitive Developmental Psychology Lab, FAU",Louisa Kulke,,https://neurodevpsychology.phil.fau.de/,,
NENSLabGallaudet,MB5,Gallaudet University,United States,Numeracy and Educational Neuroscience Lab,Ilaria Berteletti,Laine Silverman,https://sites.google.com/gallaudet.edu/nens-lab/home,,
neobrainlabCUD,MB5,Canadian University Dubai,United Arab Emirates,Neonatal and Early Origins Brain Lab,Efthymios Papatzikis,Laila Badreldin,,"Brain development,Cognitive development,Parent-infant synchrony,Mental health","EEG,fNIRS,Headturn preference,Live interaction"
